list type,runtime_merge,comparisons_merge,data swaps_merge,runtime_quick,comparisons_quick,data swaps_quick
ascending sorted 250,0.0010963999999944463,1011,1011,0.02274219999998195,31125,31374
descending sorted 250,0.001018400000020847,983,983,0.012661600000001272,15500,15749
random sorted 250,0.0017855000000395194,1668,1668,0.0012140000000044893,926,1087
ascending sorted 500,0.0023288000000434295,2272,2272,0.0886972000000128,124750,125249
descending sorted 500,0.0021770999999830565,2216,2216,0.05328730000002224,62250,62749
random sorted 500,0.003660300000035477,3855,3855,0.0025717999999983476,2451,2785
ascending sorted 1000,0.005148100000042177,5044,5044,0.3768721999999798,499500,500499
descending sorted 1000,0.0052292999999963286,4932,4932,0.20973560000004454,249500,250499
random sorted 1000,0.008277899999995952,8704,8704,0.004972599999973681,5600,6286
